.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50Words	1	1	1	1	1	1	1	1	1	1	1	1	1	1
